dataset,gene_id,locus_tag,gene_symbol,annotation,peak_time_h,corr_p,amplitude_cv,rhythmic_tier,rhythmic_flag
Ito2009,syc1554_d,Synpcc7942_2556,hoxY,NAD-reducing hydrogenase HoxS delta subunit,10.4,0.00026,0.719658662116538,b,True
Ito2009,syc1555_d,Synpcc7942_2555,hoxH,NAD-reducing hydrogenase HoxS beta subunit,10.4,0.00013,0.6319452198065872,b,True
Ito2009,syc1606_d,Synpcc7942_2500,,hypothetical protein,9,0.00012,0.27403767922416017,b,True
Ito2009,syc1643_d,Synpcc7942_2461,,hypothetical protein,11,0.00027,0.7587708493378063,b,True
Ito2009,syc1717_d,Synpcc7942_2388,,hypothetical protein,10.2,0.00079,0.7638468692988637,b,True
Ito2009,syc1719_c,Synpcc7942_2386,hypD,hydrogenase isoenzymes formation protein HypD,11,0.00013,0.37259769494088457,b,True
Ito2009,syc1720_c,Synpcc7942_2385,,hypothetical protein,10.4,0.00024,0.7367472837220534,b,True
Ito2009,syc1721_c,Synpcc7942_2384,nifJ,pyruvate flavodoxin oxidoreductase,10.8,0.00024,0.6301023980710933,b,True
Ito2009,syc1767_d,Synpcc7942_2335,"fbpII, fbp, fdp",fructose-16-bisphosphatase,10.8,0.00019,0.8516948383108632,b,True
Ito2009,syc1768_d,Synpcc7942_2334,zwf,glucose-6-phosphate 1-dehydrogenase,10.8,0.00023,0.862254775750836,b,True
Ito2009,syc1769_d,Synpcc7942_2333,opcA,putative OxPPCycle protein OpcA,10.8,0.00012,0.7889842891547926,b,True
Ito2009,syc1794_c,Synpcc7942_2308,gcvT,aminomethyltransferase,10.8,0.00013,0.3945244890803906,b,True
Ito2009,syc1795_c,Synpcc7942_2307,,,10.4,0.00011,0.3814328449219641,b,True
Ito2009,syc1803_d,Synpcc7942_2297,tal,transaldolase,10.4,0.00021,0.5214002220397175,b,True
Ito2009,syc1821_c,Synpcc7942_2279,amt1,ammonium/methylammonium permease,11,2e-05,0.44386556655160575,b,True
Ito2009,syc1860_d,Synpcc7942_2238,glcP,glucose transport protein,10.8,0.00067,0.5130035307270832,b,True
Ito2009,syc1897_d,Synpcc7942_2200,,hypothetical protein,10.6,0.00068,0.26786411855657194,b,True
Ito2009,syc1901_d,Synpcc7942_2196,,,10.4,5e-05,0.3282971316569457,b,True
Ito2009,syc1911_c,Synpcc7942_2185,,hypothetical protein,10.4,0.00027,0.5986194101349597,b,True
Ito2009,syc1990_d,Synpcc7942_2103,,,10,0.00022,0.3037074645494817,b,True
Ito2009,syc2005_c,Synpcc7942_2088,,,11.4,0.00037,0.3007341146294558,b,True
Ito2009,syc2011_d,Synpcc7942_2082,fus,elongation factor EF-G,11,0.00062,0.7355909186836768,b,True
Ito2009,syc2066_c,Synpcc7942_2029,pgi,glucose-6-phosphate isomerase,10.8,0.00037,0.33789353035052544,b,True
Ito2009,syc2105_d,Synpcc7942_1991,,hypothetical protein,10.2,6e-05,0.36214161124437716,b,True
Ito2009,syc2135_d,Synpcc7942_1960,,hypothetical protein,10.6,2e-05,0.5742656970917561,b,True
Ito2009,syc2144_c,Synpcc7942_1950,,hypothetical protein,10.6,2e-05,0.40017974822368435,b,True
Ito2009,syc2145_c,Synpcc7942_1949,,hypothetical protein,10.8,4e-05,0.42506257490155736,b,True
Ito2009,syc2180_c,Synpcc7942_1914,,hypothetical protein,10.2,0.00067,0.28948473411019854,b,True
